date,flow_windsor,storage,shortfall_london,restrictions
2070-12-29,4272,194630,0,0
2070-12-30,4091,195576,0,0
2070-12-31,3944,196460,0,0
2071-01-01,3931,197068,0,0
2071-01-02,3931,198006,0,0
2071-01-03,4362,198975,0,0
2071-01-04,6169,200064,0,0
2071-01-05,6987,201855,0,0
2071-01-06,6617,202828,0,0
2071-01-07,6109,202828,0,0
2071-01-08,5653,202828,0,0
2071-01-09,5264,202828,0,0
2071-01-10,4930,202828,0,0
2071-01-11,4640,202828,0,0
2071-01-12,4387,202828,0,0
2071-01-13,4163,202828,0,0
2071-01-14,4143,202828,0,0
2071-01-15,4037,202828,0,0
2071-01-16,5130,202828,0,0
2071-01-17,5584,202828,0,0
2071-01-18,5481,202828,0,0
2071-01-19,5258,202828,0,0
2071-01-20,4933,202828,0,0
2071-01-21,4618,202828,0,0
2071-01-22,4335,202828,0,0
2071-01-23,4950,202828,0,0
2071-01-24,5178,202828,0,0
2071-01-25,4987,202828,0,0
2071-01-26,4702,202828,0,0
2071-01-27,4426,202828,0,0
2071-01-28,4181,202828,0,0
2071-01-29,3962,202828,0,0
2071-01-30,3768,202828,0,0
2071-01-31,3593,202828,0,0
2071-02-01,3576,202828,0,0
2071-02-02,4832,202828,0,0
2071-02-03,5115,202828,0,0
2071-02-04,4879,202828,0,0
2071-02-05,4559,202828,0,0
2071-02-06,4260,202828,0,0
2071-02-07,3997,202828,0,0
2071-02-08,4441,202828,0,0
2071-02-09,4597,202828,0,0
2071-02-10,4442,202828,0,0
2071-02-11,4216,202828,0,0
2071-02-12,3990,202828,0,0
2071-02-13,3778,202828,0,0
2071-02-14,3620,202828,0,0
2071-02-15,3462,202828,0,0
2071-02-16,3325,202828,0,0
2071-02-17,3192,202828,0,0
2071-02-18,3060,202828,0,0
2071-02-19,2932,202828,0,0
2071-02-20,2814,202828,0,0
2071-02-21,2702,202828,0,0
2071-02-22,2597,202828,0,0
2071-02-23,2650,202828,0,0
2071-02-24,2671,202828,0,0
2071-02-25,2628,202828,0,0
2071-02-26,2641,202828,0,0
2071-02-27,2616,202828,0,0
2071-02-28,2637,202828,0,0
2071-03-01,2611,202828,0,0
2071-03-02,2560,202828,0,0
2071-03-03,2480,202828,0,0
2071-03-04,2385,202828,0,0
2071-03-05,2754,202828,0,0
2071-03-06,2980,202828,0,0
2071-03-07,2956,202828,0,0
2071-03-08,3589,202828,0,0
2071-03-09,3751,202828,0,0
2071-03-10,3585,202828,0,0
2071-03-11,3408,202828,0,0
2071-03-12,3249,202828,0,0
2071-03-13,6803,202828,0,0
2071-03-14,6919,202828,0,0
2071-03-15,6180,202828,0,0
2071-03-16,6269,202828,0,0
2071-03-17,8542,202828,0,0
2071-03-18,7832,202828,0,0
2071-03-19,6871,202828,0,0
2071-03-20,9734,202828,0,0
2071-03-21,9277,202828,0,0
2071-03-22,8390,202828,0,0
2071-03-23,9329,202828,0,0
2071-03-24,8534,202828,0,0
2071-03-25,8629,202828,0,0
2071-03-26,7932,202828,0,0
2071-03-27,7252,202828,0,0
2071-03-28,6671,202828,0,0
2071-03-29,6179,202828,0,0
2071-03-30,5918,202828,0,0
2071-03-31,5588,202828,0,0
2071-04-01,5263,202828,0,0
2071-04-02,4974,202828,0,0
2071-04-03,4808,202828,0,0
2071-04-04,4601,202828,0,0
2071-04-05,4389,202828,0,0
2071-04-06,4191,202828,0,0
2071-04-07,4186,202828,0,0
2071-04-08,4315,202828,0,0
2071-04-09,4944,202828,0,0
2071-04-10,5166,202828,0,0
2071-04-11,5322,202828,0,0
2071-04-12,5117,202828,0,0
2071-04-13,4830,202828,0,0
2071-04-14,4552,202828,0,0
2071-04-15,4314,202828,0,0
2071-04-16,4332,202828,0,0
2071-04-17,4242,202828,0,0
2071-04-18,4422,202828,0,0
2071-04-19,4352,202828,0,0
2071-04-20,4165,202828,0,0
2071-04-21,3959,202828,0,0
2071-04-22,5186,202828,0,0
2071-04-23,5300,202828,0,0
2071-04-24,5418,202828,0,0
2071-04-25,5111,202828,0,0
2071-04-26,4730,202828,0,0
2071-04-27,4607,202828,0,0
2071-04-28,4503,202828,0,0
2071-04-29,4269,202828,0,0
2071-04-30,4990,202828,0,0
2071-05-01,8007,202828,0,0
2071-05-02,9117,202828,0,0
2071-05-03,10076,202828,0,0
2071-05-04,10732,202828,0,0
2071-05-05,9584,202828,0,0
2071-05-06,10205,202828,0,0
2071-05-07,9256,202828,0,0
2071-05-08,8444,202828,0,0
2071-05-09,7686,202828,0,0
2071-05-10,7040,202828,0,0
2071-05-11,6499,202828,0,0
2071-05-12,6039,202828,0,0
2071-05-13,5645,202828,0,0
2071-05-14,5312,202828,0,0
2071-05-15,5017,202828,0,0
2071-05-16,4755,202828,0,0
2071-05-17,5269,202828,0,0
2071-05-18,5289,202828,0,0
2071-05-19,5976,202828,0,0
2071-05-20,7226,202828,0,0
2071-05-21,7489,202828,0,0
2071-05-22,6963,202828,0,0
2071-05-23,6405,202828,0,0
2071-05-24,6093,202828,0,0
2071-05-25,5706,202828,0,0
2071-05-26,5340,202828,0,0
2071-05-27,5015,202828,0,0
2071-05-28,4757,202828,0,0
2071-05-29,4518,202828,0,0
2071-05-30,4403,202828,0,0
2071-05-31,4244,202828,0,0
2071-06-01,5724,202828,0,0
2071-06-02,5910,202828,0,0
2071-06-03,5598,202828,0,0
2071-06-04,5236,202828,0,0
2071-06-05,4907,202828,0,0
2071-06-06,4621,202828,0,0
2071-06-07,4368,202828,0,0
2071-06-08,4147,202828,0,0
2071-06-09,3948,202828,0,0
2071-06-10,3770,202828,0,0
2071-06-11,3609,202828,0,0
2071-06-12,3461,202828,0,0
2071-06-13,4303,202828,0,0
2071-06-14,5643,202828,0,0
2071-06-15,5578,202828,0,0
2071-06-16,5134,202828,0,0
2071-06-17,4706,202828,0,0
2071-06-18,4950,202828,0,0
2071-06-19,4788,202828,0,0
2071-06-20,4482,202828,0,0
2071-06-21,4306,202828,0,0
2071-06-22,4074,202828,0,0
2071-06-23,3834,202828,0,0
2071-06-24,3612,202828,0,0
2071-06-25,3462,202828,0,0
2071-06-26,3317,202828,0,0
2071-06-27,3167,202828,0,0
2071-06-28,3242,202828,0,0
2071-06-29,3254,202828,0,0
2071-06-30,3975,202828,0,0
2071-07-01,5217,202828,0,0
2071-07-02,5279,202828,0,0
2071-07-03,4954,202828,0,0
2071-07-04,4596,202828,0,0
2071-07-05,4274,202828,0,0
2071-07-06,3995,202828,0,0
2071-07-07,3753,202828,0,0
2071-07-08,3540,202828,0,0
2071-07-09,3353,202828,0,0
2071-07-10,3186,202828,0,0
2071-07-11,3036,202828,0,0
2071-07-12,2900,202828,0,0
2071-07-13,2776,202810,0,0
2071-07-14,2663,202770,0,0
2071-07-15,2558,202710,0,0
2071-07-16,2460,202633,0,0
2071-07-17,2368,202540,0,0
2071-07-18,2282,202433,0,0
2071-07-19,2201,202313,0,0
2071-07-20,2128,202182,0,0
2071-07-21,2089,202040,0,0
2071-07-22,2052,201814,0,0
2071-07-23,2017,201510,0,0
2071-07-24,1984,201132,0,0
2071-07-25,1953,200683,0,0
2071-07-26,1898,200170,0,0
2071-07-27,1841,199570,0,0
2071-07-28,1789,198883,0,0
2071-07-29,1774,198114,0,0
2071-07-30,1865,197299,0,0
2071-07-31,3185,196415,0,0
2071-08-01,4168,196806,0,0
2071-08-02,4109,198619,0,0
2071-08-03,3727,199860,0,0
2071-08-04,3332,200418,0,0
2071-08-05,2993,200596,0,0
2071-08-06,2811,200692,0,0
2071-08-07,2677,200748,0,0
2071-08-08,2473,200758,0,0
2071-08-09,2314,200727,0,0
2071-08-10,2170,200676,0,0
2071-08-11,2038,200601,0,0
2071-08-12,1975,200502,0,0
2071-08-13,1916,200329,0,0
2071-08-14,1844,200017,0,0
2071-08-15,1756,199561,0,0
2071-08-16,1676,198950,0,0
2071-08-17,2067,198199,0,0
2071-08-18,2921,197572,0,0
2071-08-19,4208,197845,0,0
2071-08-20,4685,199072,0,0
2071-08-21,4893,199575,0,0
2071-08-22,4483,200218,0,0
2071-08-23,3987,200715,0,0
2071-08-24,3543,201059,0,0
2071-08-25,3169,201283,0,0
2071-08-26,2855,201417,0,0
2071-08-27,2592,201483,0,0
2071-08-28,2370,201497,0,0
2071-08-29,2180,201470,0,0
2071-08-30,2018,201410,0,0
2071-08-31,1942,201324,0,0
2071-09-01,1875,201202,0,0
2071-09-02,1789,201040,0,0
2071-09-03,1693,200702,0,0
2071-09-04,1609,200190,0,0
2071-09-05,1534,199522,0,0
2071-09-06,1534,198717,0,0
2071-09-07,1607,197852,0,0
2071-09-08,1796,196956,0,0
2071-09-09,2019,196224,0,0
2071-09-10,2071,195763,0,0
2071-09-11,2117,195320,0,0
2071-09-12,2170,195063,0,0
2071-09-13,2196,194952,0,0
2071-09-14,2156,194942,0,0
2071-09-15,2074,194943,0,0
2071-09-16,1944,194883,0,0
2071-09-17,1824,194685,0,0
2071-09-18,1717,194337,0,0
2071-09-19,1621,193838,0,0
2071-09-20,1536,193193,0,0
2071-09-21,1460,192410,0,0
2071-09-22,1390,191499,0,0
2071-09-23,1328,190469,0,0
2071-09-24,1271,189330,0,0
2071-09-25,10154,188089,0,0
2071-09-26,10128,189766,0,0
2071-09-27,8323,192311,0,0
2071-09-28,7036,194770,0,0
2071-09-29,6162,197005,0,0
2071-09-30,6402,197897,0,0
2071-10-01,7016,198655,0,0
2071-10-02,6198,199871,0,0
2071-10-03,5352,200881,0,0
2071-10-04,4742,201655,0,0
2071-10-05,4142,202251,0,0
2071-10-06,3653,202715,0,0
2071-10-07,3252,202828,0,0
2071-10-08,2921,202828,0,0
2071-10-09,2644,202828,0,0
2071-10-10,2411,202828,0,0
2071-10-11,2212,202828,0,0
2071-10-12,2042,202828,0,0
2071-10-13,1936,202828,0,0
2071-10-14,1903,202828,0,0
2071-10-15,1865,202828,0,0
2071-10-16,1807,202695,0,0
2071-10-17,1721,202426,0,0
2071-10-18,1719,202006,0,0
2071-10-19,1752,201544,0,0
2071-10-20,1770,201033,0,0
2071-10-21,1809,200499,0,0
2071-10-22,1838,199989,0,0
2071-10-23,1838,199490,0,0
2071-10-24,1822,198998,0,0
2071-10-25,1782,198511,0,0
2071-10-26,1736,197999,0,0
2071-10-27,1791,197453,0,0
2071-10-28,2354,196871,0,0
2071-10-29,2589,197041,0,0
2071-10-30,2559,197456,0,0
2071-10-31,2420,197767,0,0
2071-11-01,2457,198122,0,0
2071-11-02,2491,198539,0,0
2071-11-03,4399,199015,0,0
2071-11-04,6644,200009,0,0
2071-11-05,6206,201160,0,0
2071-11-06,5373,202122,0,0
2071-11-07,4805,202828,0,0
2071-11-08,4242,202828,0,0
2071-11-09,3744,202828,0,0
2071-11-10,3394,202828,0,0
2071-11-11,3304,202828,0,0
2071-11-12,3123,202828,0,0
2071-11-13,3286,202828,0,0
2071-11-14,3243,202828,0,0
2071-11-15,3449,202828,0,0
2071-11-16,3409,202828,0,0
2071-11-17,3207,202828,0,0
2071-11-18,3292,202828,0,0
2071-11-19,3239,202828,0,0
2071-11-20,3074,202828,0,0
2071-11-21,2876,202828,0,0
2071-11-22,2736,202828,0,0
2071-11-23,2594,202828,0,0
2071-11-24,2452,202828,0,0
2071-11-25,2315,202828,0,0
2071-11-26,2189,202828,0,0
2071-11-27,2075,202828,0,0
2071-11-28,2159,202828,0,0
2071-11-29,2354,202828,0,0
2071-11-30,2472,202828,0,0
2071-12-01,2453,202828,0,0
2071-12-02,3214,202828,0,0
2071-12-03,3657,202828,0,0
2071-12-04,4139,202828,0,0
2071-12-05,4240,202828,0,0
2071-12-06,4662,202828,0,0
2071-12-07,4470,202828,0,0
2071-12-08,4078,202828,0,0
2071-12-09,4202,202828,0,0
2071-12-10,4839,202828,0,0
2071-12-11,6032,202828,0,0
2071-12-12,5758,202828,0,0
2071-12-13,5647,202828,0,0
2071-12-14,5543,202828,0,0
2071-12-15,5380,202828,0,0
2071-12-16,5049,202828,0,0
2071-12-17,4647,202828,0,0
2071-12-18,6770,202828,0,0
2071-12-19,6625,202828,0,0
2071-12-20,7752,202828,0,0
2071-12-21,7179,202828,0,0
2071-12-22,6452,202828,0,0
2071-12-23,6487,202828,0,0
2071-12-24,8532,201294,0,0
2071-12-25,8179,199760,0,0
2071-12-26,8818,198226,0,0
2071-12-27,8937,196692,0,0
2071-12-28,8207,195158,0,0
2071-12-29,7503,193624,0,0
2071-12-30,7700,192090,0,0
2071-12-31,7227,190534,0,0
2072-01-01,10578,188797,0,0
2072-01-02,10638,187350,0,0
2072-01-03,9749,188595,0,0
2072-01-04,9757,190511,0,0
2072-01-05,12296,192427,0,0
2072-01-06,11408,194230,0,0
2072-01-07,10466,196033,0,0
2072-01-08,9662,197836,0,0
2072-01-09,8980,199639,0,0
2072-01-10,8404,201442,0,0
2072-01-11,7904,202828,0,0
2072-01-12,7482,202828,0,0
2072-01-13,7118,202828,0,0
2072-01-14,7088,202828,0,0
2072-01-15,6808,202828,0,0
2072-01-16,6495,202828,0,0
2072-01-17,6304,202828,0,0
2072-01-18,6051,202828,0,0
2072-01-19,6431,202828,0,0
2072-01-20,6281,202828,0,0
2072-01-21,6395,202828,0,0
2072-01-22,6173,202828,0,0
2072-01-23,5899,202828,0,0
2072-01-24,5634,202828,0,0
2072-01-25,5384,202828,0,0
2072-01-26,5161,202828,0,0
2072-01-27,4962,202828,0,0
2072-01-28,4770,202828,0,0
2072-01-29,4589,202828,0,0
2072-01-30,4594,202828,0,0
2072-01-31,4491,202828,0,0
2072-02-01,4340,202828,0,0
2072-02-02,4179,202828,0,0
2072-02-03,4023,202828,0,0
2072-02-04,4470,202828,0,0
2072-02-05,5495,202828,0,0
2072-02-06,5495,202828,0,0
2072-02-07,5164,202828,0,0
2072-02-08,4812,202828,0,0
2072-02-09,4687,202828,0,0
2072-02-10,5042,202828,0,0
2072-02-11,8724,202828,0,0
2072-02-12,12594,202828,0,0
2072-02-13,17338,202828,0,0
2072-02-14,14979,202828,0,0
2072-02-15,12974,202828,0,0
2072-02-16,11369,202828,0,0
2072-02-17,10875,202828,0,0
2072-02-18,20465,202828,0,0
